id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
554421791,Emx1-IRES-Cre,35,1027,AUDpo,Posterior auditory area,Emx1-IRES-Cre-281287,0.3971654232,"[{""id""=>402, ""abbreviation""=>""VISal"", ""name""=>""Anterolateral visual area"", ""color""=>""08858C""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}, {""id""=>312782574, ""abbreviation""=>""VISli"", ""name""=>""Laterointermediate area"", ""color""=>""08858C""}]",M,"",11.2889251328,019399,,"[8470, 2080, 1810]",false,https://connectivity.brain-map.org/projection/experiment/554421791
115958825,"",5,1027,AUDpo,Posterior auditory area,378-1185,0.2100451248,"[{""id""=>402, ""abbreviation""=>""VISal"", ""name""=>""Anterolateral visual area"", ""color""=>""08858C""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,C57BL/6J,9.1413689696,019399,,"[8150, 2510, 9640]",false,https://connectivity.brain-map.org/projection/experiment/115958825
158314278,"",5,1011,AUDd,Dorsal auditory area,378-1628,0.30367224719999997,"[{""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",M,C57BL/6J,8.75612752,019399,,"[7720, 2650, 9460]",false,https://connectivity.brain-map.org/projection/experiment/158314278
562671482,Emx1-IRES-Cre,35,1002,AUDp,Primary auditory area,Emx1-IRES-Cre-283754,0.3339246904,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",F,"",8.58405912,019399,,"[8030, 2370, 1780]",false,https://connectivity.brain-map.org/projection/experiment/562671482
576332845,Emx1-IRES-Cre,35,1002,AUDp,Primary auditory area,Emx1-IRES-Cre-298030,0.423433696,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",F,"",7.4846526272,019399,,"[8860, 2800, 1180]",false,https://connectivity.brain-map.org/projection/experiment/576332845
606100558,Rbp4-Cre_KL100,35,1027,AUDpo,Posterior auditory area,Rbp4-Cre_KL100-330691,0.0650656888,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,"",5.8388800624,019399,,"[8090, 2250, 1850]",false,https://connectivity.brain-map.org/projection/experiment/606100558
146858006,"",5,1002,AUDp,Primary auditory area,378-1506,0.11417084279999999,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,C57BL/6J,5.7106984928,019399,,"[8170, 2530, 9650]",false,https://connectivity.brain-map.org/projection/experiment/146858006
579203888,Emx1-IRES-Cre,36,1027,AUDpo,Posterior auditory area,Emx1-IRES-Cre-302360,0.2591280524,"[{""id""=>402, ""abbreviation""=>""VISal"", ""name""=>""Anterolateral visual area"", ""color""=>""08858C""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}, {""id""=>312782574, ""abbreviation""=>""VISli"", ""name""=>""Laterointermediate area"", ""color""=>""08858C""}]",M,"",5.6005891424000005,019399,,"[8430, 2120, 1860]",false,https://connectivity.brain-map.org/projection/experiment/579203888
112881858,"",5,1018,AUDv,Ventral auditory area,378-1074,0.1315973792,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,C57BL/6J,3.5938458472000003,019399,,"[8300, 3460, 10150]",false,https://connectivity.brain-map.org/projection/experiment/112881858
182090318,Rbp4-Cre_KL100,5,1002,AUDp,Primary auditory area,Rbp4-Cre-160,0.0846237252,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,"",3.5009104872,019399,,"[7660, 2840, 9790]",false,https://connectivity.brain-map.org/projection/experiment/182090318
